Lat,Long_,FIPS
+34.8105184,-089.2002848,28009
+37.3581494,-088.1050103,21055
+43.0753374,-094.6690546,19147
+40.7353342,-094.2442514,19159
+35.7099148,-079.8062153,37151
+39.5623537,-075.9415852,24015
+40.3526584,-087.3758466,18171
+41.5675715,-098.5305655,31077
+40.1757356,-097.1431027,31095
+40.5168024,-097.1317550,31151
+37.3597236,-082.9457242,21119
+41.8980732,-090.5342431,19045
+43.6711110,-095.1497314,27063
+44.0207056,-092.8693529,27039
+43.6742019,-093.3502887,27047
+38.1838996,-120.5614415,06009
+41.7990145,-070.2118803,25001
+37.6069753,-076.5280819,51119
+41.1380282,-079.0124190,42065
+41.4722470,-087.3743368,18089
+35.5136604,-086.4582939,47003
+36.5457881,-085.5458160,47027
+39.5136797,-088.2207820,17029
+35.7629507,-089.6277318,47097
+44.7034268,-117.6919334,41001
+42.4197755,-076.9386030,36097
+42.2821497,-086.3060762,26159
+41.2047906,-090.7414333,17131
+38.0744569,-082.7383015,21127
+37.9229402,-083.2589444,21175
+37.2138159,-087.1340919,21177
+39.0479445,-088.5928488,17049
+35.7374500,-084.3162040,47105
+44.8552107,-097.7249124,46025
+21.4613654,-158.2019740,15003
+29.7234556,-082.7958011,12041
+40.3891334,-086.8935538,18157
+40.7554068,-077.0729288,42109
+33.6672628,-095.5703477,48277
+25.6105796,-080.4991365,12086
+40.1801650,-101.6811327,31057
+31.3004926,-095.9956219,48289
+39.2173323,-106.9157831,08097
+47.9260026,-097.4508510,38035
+41.5490129,-086.7447386,18091
+40.0536499,-086.0217262,18057
+36.6961820,-077.5359753,51595
+35.7031175,-096.8813917,40081
+38.4804041,-101.8059697,20071
+32.7315494,-084.9124320,13145
+32.7447512,-081.6175849,13251
+18.4223633,-066.0680935,72127
+33.1795797,-100.2538069,48433
+41.3315843,-084.0688996,39069
+43.9264394,-071.8424220,33009
+36.9083639,-094.3350211,29145
+38.0276138,-087.8686526,18129
+28.3849220,-098.5788529,48311
+39.2731210,-088.2406193,17035
+33.7838866,-083.7318290,13297
+45.5896228,-095.4467052,27121
+38.6845215,-078.1688241,51157
+37.6286103,-079.1542813,51009
+34.3587415,-119.1331432,06111
+39.0027685,-087.7606208,17033
+39.1189141,-105.7176479,08093
+34.1963983,-118.2618616,06037
+32.7739424,-113.9109050,04027
+34.5096669,-084.8738622,13129
+42.3861699,-094.6436829,19025
+27.3426272,-081.3409213,12055
+37.7781426,-079.9860390,51580
+44.0033924,-072.3696871,50017
+38.3958120,-097.6474893,20113
+32.9185385,-111.3663874,04021
+41.5972639,-084.1242667,39051
+37.5684423,-105.7880414,08003
+28.8436402,-082.5248099,12017
+18.3265989,-065.3077200,72049
+18.4726608,-066.2595854,72051
+35.9822191,-085.8335959,47041
+41.1981594,-079.4203691,42031
+44.0215411,-097.6081220,46097
+44.0634099,-098.6231702,46073
+39.3059799,-085.4998310,18031
+38.3733441,-086.8733845,18037
+37.9394802,-076.9418713,51057
+33.6264629,-079.7164752,45089
+44.1096005,-073.7784307,36031
+43.3734910,-093.2485332,19195
+35.0529339,-096.2511829,40063
+37.2681198,-082.0381508,51027
+37.7879048,-080.0086690,51005
+33.4714237,-088.4397227,28087
+38.6794309,-085.7518981,18143
+37.9581814,-102.3921613,08099
+30.5176801,-100.5052697,48435
+18.0843613,-066.9476668,72121
+35.6175506,-095.3839106,40101
+36.9697388,-093.1876139,29043
+18.2959127,-066.5155884,72039
+31.1975865,-089.5063691,28073
+39.1002257,-085.2604937,18137
+47.3071473,-101.8333279,38057
+34.3487328,-082.9632900,13147
+32.3042901,-092.5616997,22049
+37.8569736,-076.3796872,51133
+29.5266017,-095.7710149,48157
+43.8261905,-089.1136994,55047
+48.2286037,-112.2207612,30073
+42.6681095,-088.5417306,55127
+38.5166470,-118.4162794,32021
+40.4652401,-090.2022689,17057
+40.9435540,-072.6922184,36103
+39.6231109,-084.9251523,18161
+36.6302180,-094.3439556,29119
+41.8503306,-103.7015494,31157
+35.4768585,-104.8035189,35047
+32.6040644,-085.3530477,01081
+32.7770964,-097.8059049,48367
+46.1077559,-098.4965182,38021
+46.9425500,-098.0701946,38003
+44.5757343,-094.2301232,27143
+32.8818367,-084.2922831,13293
+38.5251824,-122.9261095,06097
+46.3218192,-084.5206297,26033
+43.3951708,-111.6218783,16019
+33.9920094,-083.7123025,13013
+31.7495633,-081.7428697,13183
+29.3470865,-100.4177003,48271
+36.8357635,-094.8026814,40115
+41.0002489,-078.4737490,42033
+42.9504550,-084.5916949,26037
+17.9529217,-066.3875885,72133
+39.2280932,-089.4780041,17135
+34.8865689,-088.5811091,28003
+34.3492982,-089.4859026,28071
+31.5977873,-092.5617156,22043
+40.4318460,-095.4375546,29005
+39.8602372,-088.9615288,17115
+41.9114878,-085.5228703,26149
+37.9918483,-088.9262457,17055
+47.2800330,-106.9867061,30033
+40.5206322,-098.5000441,31001
+44.0034295,-092.4067216,27109
+40.6598707,-074.3086957,34039
+18.3353871,-066.0037874,72139
+30.6845725,-088.1965682,01097
+43.6789244,-097.3620356,46087
+33.7161568,-087.7642923,01057
+32.9155039,-085.3940321,01017
+36.4217739,-077.3983518,37131
+40.6163576,-108.2110988,08081
+37.2696366,-085.5614029,21087
+39.4097620,-085.0669641,18047
+35.4823128,-076.8420144,37013
+18.2111522,-066.5868700,72073
+46.9718426,-100.4620005,38015
+35.6413294,-080.5217216,37159
+46.1702542,-088.5405261,26071
+45.1527137,-095.0049812,27067
+37.7437739,-083.4950678,21237
+29.8778861,-096.9212309,48149
+44.3485720,-103.8057912,46081
+44.9670088,-067.6093542,23029
+34.5251725,-101.2058930,48045
+47.2166022,-089.5004631,26131
+33.4407948,-089.9188870,28015
+44.4938816,-123.4246641,41003
+43.6695866,-096.2632376,27133
+40.6514319,-079.0875451,42063
+32.6018231,-092.6623026,22061
+40.3977795,-077.2663284,42099
+44.9897638,-101.6608274,46137
+32.5479914,-094.3744344,48203
+46.6958592,-088.3618101,26013
+36.3777941,-095.6013835,40131
+38.9898614,-092.3102022,29019
+18.2606557,-067.1826234,72097
+35.1679202,-098.3810447,40015
+39.5795106,-105.2454623,08059
+38.4195778,-082.2433966,54011
+31.3751911,-101.5143954,48383
+35.5829532,-092.5159757,05141
+39.6210227,-106.1375545,08117
+37.2345068,-096.8372468,20035
+35.5733586,-093.4663223,05071
+43.6578786,-074.5024556,36041
+37.4736031,-080.2310507,51045
+31.9142052,-099.3466223,48083
+65.3757180,-151.5778726,02290
+35.3907852,-110.3210248,04017
+31.5352155,-090.4535663,28085
+36.2787442,-100.8158636,48357
+31.4227965,-102.4877739,48103
+44.5251167,-107.9948477,56003
+35.8023275,-087.4671159,47081
+34.6522011,-090.3717697,28143
+40.3456200,-093.9925818,29081
+18.3235851,-065.8832059,72029
+39.2058430,-085.8979988,18005
+33.9210260,-084.8671616,13223
+38.9313769,-083.8667723,39015
+36.1409404,-085.4961801,47141
+48.2166858,-101.5405369,38101
+42.3116934,-071.9402820,25027
+40.3875532,-083.7663430,39091
+36.0724780,-119.8155301,06031
